0,0.601263,2,s50,0.0589027
0,0.604378,16,s100,0.0465588
0,0.60977,64,s200,0.0403686
0,0.635742,0.25,g50,0.0373711
0,0.617053,0.03125,g100,0.0389316
0,0.608356,0.00390625,g200,0.040689
1,0.594369,3.05176e-05,s50,0.0153637
1,0.597758,3.05176e-05,s100,0.0192415
1,0.596465,7.62939e-06,s200,0.0201904
1,0.626517,0.000244141,g50,0.0435479
1,0.635689,0.000244141,g100,0.0365714
1,0.634269,0.000244141,g200,0.0415683
2,0.593094,0.000976562,s50,0.0328434
2,0.601249,0.000976562,s100,0.0327421
2,0.59926,0.000976562,s200,0.0329883
2,0.627157,0.00012207,g50,0.0288812
2,0.63195,0.00012207,g100,0.0268843
2,0.629703,0.000488281,g200,0.0334027
3,0.598341,0.00195312,s50,0.0369958
3,0.595298,0.00195312,s100,0.037401
3,0.598144,0.00195312,s200,0.042196
3,0.617971,0.000488281,g50,0.0256837
3,0.629725,0.000244141,g100,0.0205395
3,0.626178,0.000244141,g200,0.0209206
0,0.655928,0.25,s50 g50,0.0381752
0,0.631749,0.125,s50 g100,0.0356107
0,0.618535,0.00390625,s50 g200,0.0435352
0,0.651435,0.5,s100 g50,0.0368647
0,0.631014,0.125,s100 g100,0.0372154
0,0.617435,0.00390625,s100 g200,0.0440237
0,0.653121,0.25,s200 g50,0.0383402
0,0.632347,0.125,s200 g100,0.0370765
0,0.618906,0.0625,s200 g200,0.0330603
1,0.639314,0.00195312,s50 g50,0.0448775
1,0.639662,0.000244141,s50 g100,0.0339539
1,0.635746,0.000244141,s50 g200,0.04032
1,0.639382,0.00195312,s100 g50,0.0458188
1,0.639662,0.000244141,s100 g100,0.0339539
1,0.636977,0.000244141,s100 g200,0.0398023
1,0.639912,0.00195312,s200 g50,0.044194
1,0.63965,0.000244141,s200 g100,0.0339561
1,0.637013,0.000244141,s200 g200,0.0401538
2,0.625965,0.000244141,s50 g50,0.031198
2,0.634618,0.00012207,s50 g100,0.0228475
2,0.633357,0.000488281,s50 g200,0.0347772
2,0.625989,0.000244141,s100 g50,0.031149
2,0.634618,0.00012207,s100 g100,0.0228475
2,0.633357,0.000488281,s100 g200,0.0347772
2,0.626373,0.000488281,s200 g50,0.034265
2,0.634618,0.00012207,s200 g100,0.0228475
2,0.632405,0.000488281,s200 g200,0.0329391
3,0.620568,0.000244141,s50 g50,0.0286457
3,0.633284,0.000244141,s50 g100,0.0163537
3,0.630856,0.000488281,s50 g200,0.028209
3,0.620413,0.000244141,s100 g50,0.0287668
3,0.633519,0.000244141,s100 g100,0.0166858
3,0.630173,0.000488281,s100 g200,0.0273027
3,0.620749,0.000244141,s200 g50,0.0286421
3,0.631189,0.000244141,s200 g100,0.0150018
3,0.631145,0.000488281,s200 g200,0.0290077
